Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
-0.0026	0.4167	0.6187	50.0000	50.0000	
-0.0010	0.4092	0.6111	50.0000	50.0000	
0.0000	0.4020	0.6031	50.0000	50.0000	
0.0005	0.3952	0.5942	50.0000	50.0000	
0.0008	0.3888	0.5852	50.0000	50.0000	
0.0009	0.3826	0.5762	50.0000	50.0000	
0.0006	0.3768	0.5667	50.0000	50.0000	
-0.0001	0.3713	0.5566	50.0000	50.0000	
-0.0012	0.3659	0.5458	50.0000	50.0000	
-0.0026	0.3606	0.5344	50.0000	50.0000	
-0.0044	0.3556	0.5224	50.0000	50.0000	
-0.0064	0.3506	0.5097	50.0000	50.0000	
-0.0088	0.3457	0.4964	50.0000	50.0000	
-0.0114	0.3407	0.4826	50.0000	50.0000	
-0.0141	0.3358	0.4684	50.0000	50.0000	
-0.0171	0.3311	0.4539	50.0000	50.0000	
-0.0201	0.3263	0.4393	50.0000	50.0000	
-0.0231	0.3216	0.4247	50.0000	50.0000	
-0.0261	0.3169	0.4101	50.0000	50.0000	
-0.0291	0.3122	0.3956	50.0000	50.0000	
-0.0321	0.3077	0.3813	50.0000	50.0000	
-0.0350	0.3032	0.3673	50.0000	50.0000	
-0.0377	0.2988	0.3538	50.0000	50.0000	
-0.0403	0.2944	0.3408	50.0000	50.0000	
-0.0427	0.2901	0.3284	50.0000	50.0000	
-0.0450	0.2859	0.3165	50.0000	50.0000	
-0.0470	0.2817	0.3051	50.0000	50.0000	
-0.0489	0.2777	0.2943	50.0000	50.0000	
-0.0506	0.2737	0.2840	50.0000	50.0000	
-0.0521	0.2698	0.2743	50.0000	50.0000	
-0.0535	0.2659	0.2651	50.0000	50.0000	
-0.0546	0.2621	0.2565	50.0000	50.0000	
-0.0556	0.2583	0.2485	50.0000	50.0000	
-0.0564	0.2547	0.2411	50.0000	50.0000	
-0.0570	0.2512	0.2344	50.0000	50.0000	
-0.0574	0.2476	0.2279	50.0000	50.0000	
-0.0578	0.2441	0.2217	50.0000	50.0000	
-0.0580	0.2405	0.2157	50.0000	50.0000	
-0.0583	0.2369	0.2097	50.0000	50.0000	
