Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
-0.2352	0.6825	0.5956	50.0000	50.0000	
-0.2327	0.6658	0.5718	50.0000	50.0000	
-0.2295	0.6496	0.5507	50.0000	50.0000	
-0.2255	0.6334	0.5319	50.0000	50.0000	
-0.2210	0.6171	0.5147	50.0000	50.0000	
-0.2161	0.6011	0.4990	50.0000	50.0000	
-0.2108	0.5849	0.4840	50.0000	50.0000	
-0.2053	0.5689	0.4699	50.0000	50.0000	
-0.1993	0.5528	0.4571	50.0000	50.0000	
-0.1919	0.5372	0.4494	50.0000	50.0000	
-0.1842	0.5216	0.4423	50.0000	50.0000	
-0.1752	0.5038	0.4350	50.0000	50.0000	
-0.1654	0.4846	0.4275	50.0000	50.0000	
-0.1553	0.4648	0.4195	50.0000	50.0000	
-0.1454	0.4452	0.4113	50.0000	50.0000	
-0.1366	0.4270	0.4027	50.0000	50.0000	
-0.1286	0.4099	0.3938	50.0000	50.0000	
-0.1218	0.3945	0.3845	50.0000	50.0000	
-0.1155	0.3796	0.3751	50.0000	50.0000	
-0.1100	0.3661	0.3655	50.0000	50.0000	
-0.1050	0.3532	0.3559	50.0000	50.0000	
-0.1005	0.3412	0.3464	50.0000	50.0000	
-0.0964	0.3300	0.3373	50.0000	50.0000	
-0.0928	0.3197	0.3287	50.0000	50.0000	
-0.0895	0.3104	0.3207	50.0000	50.0000	
-0.0866	0.3020	0.3134	50.0000	50.0000	
-0.0840	0.2945	0.3069	50.0000	50.0000	
-0.0817	0.2878	0.3013	50.0000	50.0000	
-0.0796	0.2820	0.2962	50.0000	50.0000	
-0.0777	0.2767	0.2918	50.0000	50.0000	
-0.0759	0.2718	0.2879	50.0000	50.0000	
-0.0743	0.2674	0.2842	50.0000	50.0000	
-0.0727	0.2630	0.2808	50.0000	50.0000	
-0.0711	0.2585	0.2771	50.0000	50.0000	
-0.0687	0.2529	0.2734	50.0000	50.0000	
-0.0660	0.2466	0.2694	50.0000	50.0000	
-0.0639	0.2406	0.2642	50.0000	50.0000	
-0.0627	0.2350	0.2572	50.0000	50.0000	
-0.0620	0.2294	0.2490	50.0000	50.0000	
-0.0614	0.2241	0.2409	50.0000	49.7250	
-0.0611	0.2199	0.2338	50.0000	41.1500	
-0.0617	0.2174	0.2275	54.9000	30.6000	
-0.0632	0.2164	0.2214	60.3750	35.3250	
-0.0659	0.2174	0.2155	60.8250	42.9250	
-0.0693	0.2199	0.2104	55.2750	44.8250	
-0.0736	0.2236	0.2050	50.2250	43.7750	
