Loss_Adversary	Loss_Target	
-0.1065	0.2871	0.5629	
-0.1488	0.2932	0.6614	
-0.1802	0.3048	0.7428	
-0.1994	0.3145	0.7955	
-0.2107	0.3179	0.8238	
-0.2169	0.3165	0.8354	
-0.2206	0.3133	0.8399	
-0.2232	0.3108	0.8425	
-0.2250	0.3080	0.8433	
-0.2263	0.3033	0.8407	
-0.2274	0.3007	0.8399	
-0.2284	0.2971	0.8378	
-0.2293	0.2937	0.8359	
-0.2301	0.2930	0.8369	
-0.2308	0.2906	0.8356	
-0.2314	0.2859	0.8313	
-0.2319	0.2827	0.8287	
-0.2325	0.2785	0.8251	
-0.2331	0.2806	0.8289	
-0.2341	0.2813	0.8320	
-0.2354	0.2813	0.8347	
-0.2368	0.2803	0.8364	
-0.2376	0.2737	0.8306	
-0.2385	0.2667	0.8243	
-0.2389	0.2551	0.8119	
-0.2395	0.2499	0.8072	
-0.2405	0.2541	0.8142	
-0.2414	0.2473	0.8081	
-0.2422	0.2448	0.8070	
-0.2432	0.2406	0.8042	
-0.2443	0.2426	0.8090	
-0.2453	0.2420	0.8105	
-0.2465	0.2431	0.8143	
-0.2478	0.2460	0.8206	
-0.2488	0.2361	0.8112	
-0.2500	0.2301	0.8068	
-0.2512	0.2218	0.7998	
-0.2525	0.2218	0.8027	
-0.2540	0.2141	0.7970	
-0.2557	0.2132	0.7995	
-0.2574	0.2162	0.8066	
-0.2588	0.1993	0.7901	
-0.2604	0.1908	0.7838	
-0.2622	0.1939	0.7911	
-0.2639	0.1860	0.7857	
-0.2657	0.1833	0.7864	
-0.2673	0.1744	0.7795	
-0.2689	0.1787	0.7881	
-0.2702	0.1705	0.7814	
-0.2716	0.1550	0.7664	
-0.2732	0.1714	0.7890	
-0.2742	0.1570	0.7743	
-0.2751	0.1582	0.7777	
-0.2772	0.1571	0.7809	
-0.2791	0.1470	0.7733	
-0.2804	0.1634	0.7952	
-0.2815	0.1410	0.7715	
-0.2821	0.1486	0.7816	
-0.2830	0.1628	0.8000	
-0.2837	0.1502	0.7870	
-0.2843	0.1454	0.7826	
-0.2849	0.1455	0.7840	
