Loss_Adversary	Loss_Target	
-0.2261	0.0019	0.4127	
-0.2485	0.0032	0.4544	
-0.2579	0.0050	0.4731	
-0.2629	0.0081	0.4847	
-0.2653	0.0111	0.4915	
-0.2676	0.0135	0.4976	
-0.2685	0.0185	0.5034	
-0.2718	0.0241	0.5140	
-0.2754	0.0469	0.5391	
-0.2871	0.1225	0.6223	
-0.3086	0.2760	0.7870	
-0.3212	0.3895	0.9028	
-0.3257	0.4264	0.9411	
-0.3296	0.4335	0.9539	
-0.3321	0.4358	0.9603	
-0.3358	0.4325	0.9644	
-0.3381	0.4318	0.9679	
-0.3400	0.4312	0.9710	
-0.3431	0.4270	0.9731	
-0.3445	0.4249	0.9741	
-0.3466	0.4215	0.9750	
-0.3471	0.4209	0.9756	
-0.3484	0.4190	0.9763	
-0.3496	0.4174	0.9771	
-0.3502	0.4168	0.9779	
-0.3500	0.4184	0.9787	
-0.3512	0.4165	0.9793	
-0.3526	0.4142	0.9800	
-0.3529	0.4143	0.9805	
-0.3538	0.4127	0.9809	
-0.3536	0.4137	0.9814	
-0.3554	0.4098	0.9814	
-0.3552	0.4104	0.9816	
-0.3550	0.4108	0.9815	
-0.3554	0.4098	0.9815	
-0.3557	0.4093	0.9815	
-0.3560	0.4086	0.9815	
-0.3560	0.4078	0.9810	
-0.3571	0.4048	0.9805	
-0.3568	0.4046	0.9798	
-0.3573	0.4029	0.9793	
-0.3574	0.4021	0.9788	
-0.3580	0.3995	0.9778	
-0.3580	0.3984	0.9769	
-0.3586	0.3963	0.9762	
-0.3585	0.3953	0.9753	
-0.3590	0.3932	0.9745	
-0.3592	0.3918	0.9736	
-0.3586	0.3920	0.9727	
-0.3600	0.3880	0.9720	
-0.3596	0.3881	0.9713	
-0.3601	0.3858	0.9704	
-0.3597	0.3853	0.9692	
-0.3599	0.3835	0.9682	
-0.3609	0.3798	0.9670	
-0.3594	0.3828	0.9667	
-0.3612	0.3779	0.9659	
-0.3606	0.3777	0.9647	
-0.3615	0.3739	0.9632	
-0.3606	0.3751	0.9625	
-0.3610	0.3733	0.9618	
-0.3618	0.3711	0.9615	
-0.3617	0.3699	0.9604	
-0.3610	0.3699	0.9591	
-0.3625	0.3654	0.9580	
-0.3624	0.3661	0.9584	
-0.3624	0.3651	0.9577	
-0.3627	0.3631	0.9564	
-0.3625	0.3634	0.9564	
-0.3625	0.3628	0.9559	
-0.3619	0.3631	0.9550	
-0.3621	0.3618	0.9543	
-0.3620	0.3606	0.9533	
-0.3629	0.3588	0.9534	
-0.3625	0.3594	0.9531	
-0.3623	0.3583	0.9519	
-0.3629	0.3572	0.9521	
-0.3619	0.3599	0.9525	
-0.3631	0.3568	0.9522	
-0.3639	0.3549	0.9521	
-0.3635	0.3549	0.9512	
-0.3637	0.3527	0.9498	
-0.3626	0.3546	0.9494	
