Loss_A	Loss_T	Accuracy_A	Accuracy_T	
0.4007	0.1465	44.3000	48.4000	
0.3400	0.1088	43.1000	50.4000	
0.2996	0.0881	40.9000	70.4000	
0.2819	0.0773	40.8000	68.8000	
0.2761	0.0695	42.4000	71.2000	
0.2698	0.0637	42.0000	73.1000	
0.2626	0.0587	44.5000	74.7000	
0.2583	0.0550	47.7000	75.8000	
0.2554	0.0523	48.7000	75.6000	
0.2535	0.0503	50.3000	75.2000	
0.2519	0.0484	53.6000	75.7000	
0.2507	0.0468	54.6000	76.1000	
0.2495	0.0452	56.2000	76.3000	
0.2484	0.0438	58.2000	76.3000	
0.2472	0.0425	59.5000	76.5000	
0.2460	0.0414	58.7000	76.5000	
0.2452	0.0404	58.7000	76.0000	
0.2441	0.0395	61.6000	76.0000	
0.2431	0.0389	61.0000	76.1000	
0.2425	0.0382	60.7000	75.6000	
0.2414	0.0376	61.0000	75.6000	
0.2406	0.0373	60.8000	75.4000	
0.2398	0.0367	60.8000	75.5000	
0.2392	0.0364	61.0000	75.3000	
0.2388	0.0360	61.1000	75.2000	
0.2385	0.0357	61.0000	75.2000	
0.2382	0.0354	60.6000	75.3000	
0.2379	0.0352	60.4000	75.2000	
0.2381	0.0349	61.0000	75.0000	
0.2377	0.0347	61.0000	75.0000	
0.2375	0.0345	61.2000	75.0000	
0.2375	0.0343	60.7000	74.8000	
0.2372	0.0341	61.0000	74.9000	
0.2371	0.0340	61.1000	75.2000	
0.2374	0.0338	61.3000	74.9000	
0.2370	0.0337	60.7000	75.1000	
0.2368	0.0336	61.2000	74.9000	
0.2368	0.0335	61.4000	74.9000	
0.2365	0.0334	61.3000	74.8000	
0.2368	0.0333	60.3000	75.1000	
0.2365	0.0332	61.1000	74.8000	
0.2363	0.0332	61.2000	74.7000	
0.2365	0.0331	60.7000	74.7000	
0.2364	0.0331	60.8000	74.7000	
0.2364	0.0330	61.1000	75.1000	
0.2363	0.0330	60.3000	75.1000	
0.2364	0.0329	60.6000	74.6000	
0.2362	0.0329	61.3000	74.7000	
0.2363	0.0329	60.6000	75.2000	
0.2363	0.0328	61.0000	75.0000	
0.2363	0.0328	61.2000	75.2000	
0.2363	0.0328	61.1000	74.8000	
0.2362	0.0328	60.4000	74.8000	
0.2362	0.0328	60.4000	74.9000	
0.2363	0.0328	61.1000	74.8000	
0.2362	0.0328	60.5000	75.1000	
0.2363	0.0328	60.7000	74.8000	
0.2362	0.0328	60.5000	74.9000	
0.2362	0.0328	60.4000	74.8000	
0.2362	0.0328	60.3000	74.9000	
0.2362	0.0328	60.7000	74.8000	
0.2362	0.0328	60.5000	75.0000	
0.2362	0.0328	60.5000	74.8000	
0.2362	0.0328	60.5000	74.9000	
0.2362	0.0328	60.8000	74.8000	
0.2362	0.0328	61.0000	75.0000	
0.2362	0.0328	60.7000	74.8000	
0.2362	0.0328	60.5000	74.8000	
0.2362	0.0328	60.6000	74.8000	
0.2362	0.0328	60.4000	74.8000	
0.2362	0.0328	60.3000	74.8000	
0.2362	0.0328	60.4000	74.8000	
0.2362	0.0328	60.6000	74.8000	
0.2361	0.0327	60.4000	74.8000	
0.2362	0.0327	60.6000	74.9000	
0.2361	0.0327	60.5000	74.8000	
0.2361	0.0327	60.4000	74.8000	
0.2361	0.0327	60.8000	74.8000	
0.2362	0.0327	60.7000	74.7000	
0.2361	0.0327	61.1000	74.8000	
0.2361	0.0327	60.7000	74.7000	
0.2361	0.0327	60.5000	74.8000	
0.2361	0.0327	60.5000	74.7000	
0.2361	0.0327	60.5000	74.8000	
0.2361	0.0327	61.2000	74.7000	
0.2361	0.0327	61.1000	74.7000	
0.2361	0.0327	60.5000	74.7000	
0.2360	0.0327	60.6000	74.7000	
0.2361	0.0327	61.3000	74.7000	
0.2360	0.0327	60.8000	74.7000	
0.2360	0.0327	60.9000	74.7000	
0.2360	0.0327	60.6000	74.7000	
0.2360	0.0327	60.9000	74.7000	
0.2360	0.0327	61.2000	74.8000	
