Loss_A	Loss_T	Accuracy_A	Accuracy_T	
0.3688	0.1379	50.0000	51.4000	
0.2708	0.1009	49.9250	59.8000	
0.2626	0.0888	50.3750	63.0750	
0.2563	0.0814	52.3250	67.6500	
0.2536	0.0755	52.1500	70.9000	
0.2530	0.0706	53.2250	74.8750	
0.2511	0.0675	54.6750	76.1250	
0.2501	0.0651	55.9000	77.5250	
0.2495	0.0628	55.2750	78.3750	
0.2492	0.0606	54.7250	78.8750	
0.2490	0.0585	54.8500	79.3250	
0.2487	0.0564	55.2000	79.2250	
0.2485	0.0543	55.2500	78.9250	
0.2483	0.0523	55.2250	78.9000	
0.2481	0.0505	55.3000	78.8500	
0.2480	0.0486	55.5750	78.7500	
0.2478	0.0470	55.9750	78.6250	
0.2477	0.0455	55.5000	78.3000	
0.2475	0.0440	55.7250	78.0000	
0.2474	0.0427	55.7750	77.5750	
0.2473	0.0415	55.6500	77.4500	
0.2472	0.0405	55.4750	77.3750	
0.2471	0.0395	55.3250	76.9750	
0.2471	0.0386	55.3500	77.2000	
0.2470	0.0379	55.6000	77.0250	
0.2469	0.0372	55.9250	77.1500	
0.2469	0.0367	55.2250	76.5000	
0.2468	0.0362	55.6500	76.7000	
0.2467	0.0359	55.5750	76.5750	
0.2466	0.0356	55.7500	76.2750	
0.2467	0.0353	55.5000	76.2250	
0.2466	0.0352	56.0750	76.1250	
0.2465	0.0350	56.0000	76.0750	
0.2465	0.0348	55.4750	75.9500	
0.2465	0.0347	55.4250	75.9750	
0.2464	0.0346	56.1500	75.8750	
0.2463	0.0345	56.2500	75.8000	
0.2464	0.0344	55.3500	75.7750	
0.2464	0.0343	55.7250	75.7250	
0.2463	0.0343	55.6500	75.7500	
0.2462	0.0343	55.8250	75.9250	
0.2463	0.0342	56.1750	75.5000	
0.2461	0.0342	56.0500	75.5000	
0.2462	0.0341	55.7000	75.7250	
0.2462	0.0341	56.1000	75.6000	
0.2461	0.0341	55.7250	75.7250	
0.2461	0.0341	56.0500	75.6500	
0.2460	0.0340	56.0500	75.5500	
0.2460	0.0340	55.9250	75.7000	
0.2460	0.0340	56.3250	75.5750	
0.2459	0.0340	55.9250	75.5750	
0.2459	0.0340	55.9750	75.7000	
0.2459	0.0340	56.0500	75.8000	
0.2459	0.0339	55.8750	75.7000	
0.2459	0.0339	55.9750	75.7500	
0.2459	0.0339	55.9250	75.7000	
0.2459	0.0339	55.8500	75.7000	
0.2459	0.0339	55.9250	75.7250	
0.2459	0.0339	55.9500	75.7000	
0.2459	0.0339	55.9750	75.7000	
0.2459	0.0339	55.9500	75.7250	
0.2459	0.0339	55.8750	75.7500	
0.2458	0.0339	55.9500	75.6750	
0.2458	0.0339	55.9500	75.6750	
0.2458	0.0339	55.9750	75.7000	
0.2458	0.0339	56.0000	75.7000	
0.2458	0.0339	55.9500	75.7000	
0.2458	0.0339	55.9000	75.7250	
0.2458	0.0339	55.9250	75.6750	
0.2458	0.0339	56.0000	75.6750	
0.2458	0.0339	55.9500	75.7500	
0.2458	0.0339	55.9250	75.7250	
0.2458	0.0339	55.8500	75.7250	
0.2458	0.0339	55.9000	75.7250	
0.2458	0.0339	55.9250	75.7250	
0.2458	0.0339	55.9500	75.6750	
0.2458	0.0339	55.9500	75.7000	
0.2458	0.0339	56.0000	75.8250	
0.2458	0.0339	56.0250	75.6250	
0.2458	0.0339	55.9750	75.7250	
0.2458	0.0339	55.9750	75.6500	
0.2458	0.0339	55.9000	75.6750	
0.2458	0.0339	55.8500	75.7250	
0.2458	0.0339	55.9000	75.6500	
0.2458	0.0339	55.9500	75.7000	
0.2458	0.0339	55.9000	75.7250	
0.2458	0.0339	55.9250	75.7500	
0.2458	0.0339	55.8250	75.6750	
0.2458	0.0339	55.9000	75.7250	
0.2458	0.0339	55.9000	75.5750	
0.2458	0.0339	55.8750	75.6500	
0.2458	0.0339	55.8750	75.7000	
0.2458	0.0339	55.9500	75.7250	
0.2458	0.0339	55.8500	75.7500	
0.2458	0.0339	55.9000	75.7750	
0.2458	0.0339	55.8250	75.7250	
0.2457	0.0339	55.8500	75.7750	
0.2458	0.0339	55.7750	75.6250	
0.2458	0.0339	55.8750	75.6500	
0.2458	0.0339	55.9250	75.6500	
0.2457	0.0339	55.7500	75.7250	
0.2457	0.0339	55.8500	75.7000	
0.2457	0.0339	55.8750	75.7250	
