Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
0.6375	0.6161	0.7768	50.0000	50.0000	
0.6046	0.5723	0.7354	50.0000	50.0000	
0.5719	0.5500	0.6966	50.0000	50.0000	
0.5412	0.5306	0.6603	50.0000	50.0000	
0.5126	0.5122	0.6264	50.0000	50.0000	
0.4860	0.4945	0.5949	50.0000	50.0000	
0.4613	0.4775	0.5656	50.0000	50.0000	
0.4374	0.4611	0.5372	50.0000	50.0000	
0.4136	0.4454	0.5091	50.0000	50.0000	
0.3932	0.4302	0.4847	50.0000	50.0000	
0.3820	0.4157	0.4706	50.0000	50.0000	
0.3736	0.4019	0.4598	50.0000	50.0000	
0.3653	0.3887	0.4490	50.0000	50.0000	
0.3569	0.3759	0.4383	50.0000	50.0000	
0.3483	0.3635	0.4274	50.0000	50.0000	
0.3397	0.3516	0.4165	50.0000	50.0000	
0.3309	0.3402	0.4055	50.0000	50.0000	
0.3217	0.3295	0.3941	50.0000	50.0000	
0.3122	0.3193	0.3823	50.0000	50.0000	
0.3026	0.3096	0.3706	50.0000	50.0000	
0.2930	0.3008	0.3590	50.0000	50.0000	
0.2836	0.2929	0.3477	50.0000	50.0000	
0.2745	0.2857	0.3368	50.0000	50.0000	
0.2659	0.2792	0.3265	50.0000	50.0000	
0.2581	0.2733	0.3171	50.0000	50.0000	
0.2510	0.2679	0.3087	50.0000	50.0000	
0.2446	0.2632	0.3011	50.0000	50.0000	
0.2390	0.2590	0.2943	50.0000	50.0000	
0.2340	0.2552	0.2883	50.0000	50.0000	
0.2292	0.2520	0.2826	50.0000	50.0000	
0.2245	0.2492	0.2771	50.0000	50.0000	
0.2195	0.2469	0.2713	50.0000	50.0000	
0.2141	0.2449	0.2651	50.0000	50.0000	
0.2079	0.2433	0.2580	50.0000	50.0000	
0.2009	0.2418	0.2500	50.0000	49.7000	
0.1933	0.2401	0.2414	50.0000	38.6000	
0.1857	0.2382	0.2328	50.0000	43.7000	
0.1781	0.2361	0.2241	50.0000	47.4000	
0.1700	0.2341	0.2149	50.0000	48.5000	
0.1611	0.2325	0.2048	50.0000	48.7000	
0.1522	0.2307	0.1947	50.0000	48.8000	
0.1442	0.2286	0.1856	50.0000	48.9000	
0.1375	0.2263	0.1779	50.0000	48.7000	
0.1328	0.2238	0.1724	50.1000	48.6000	
0.1298	0.2214	0.1688	49.2000	48.5000	
0.1277	0.2190	0.1663	49.1000	48.4000	
0.1261	0.2167	0.1642	50.3000	48.1000	
0.1248	0.2147	0.1626	51.6000	47.9000	
0.1239	0.2126	0.1613	52.8000	47.8000	
0.1231	0.2106	0.1602	57.8000	47.7000	
0.1224	0.2087	0.1592	65.2000	47.7000	
0.1219	0.2065	0.1584	71.0000	47.5000	
0.1214	0.2046	0.1576	73.6000	47.5000	
0.1208	0.2024	0.1567	73.9000	47.5000	
0.1200	0.2002	0.1556	73.8000	47.5000	
0.1192	0.1979	0.1544	73.6000	47.3000	
0.1183	0.1954	0.1531	73.5000	47.2000	
0.1174	0.1931	0.1519	73.0000	47.1000	
0.1165	0.1909	0.1507	73.1000	46.9000	
0.1157	0.1890	0.1495	72.9000	46.7000	
0.1149	0.1872	0.1484	73.1000	46.6000	
0.1140	0.1859	0.1473	73.1000	46.6000	
0.1131	0.1853	0.1463	72.8000	46.9000	
0.1123	0.1842	0.1452	72.6000	47.1000	
0.1115	0.1830	0.1442	73.4000	47.3000	
0.1108	0.1819	0.1433	73.5000	47.3000	
0.1101	0.1811	0.1425	74.0000	47.5000	
0.1096	0.1798	0.1417	74.0000	47.6000	
0.1091	0.1792	0.1412	74.1000	48.0000	
0.1088	0.1785	0.1407	74.1000	48.0000	
0.1084	0.1778	0.1403	73.8000	48.0000	
0.1081	0.1776	0.1399	73.8000	48.0000	
0.1079	0.1769	0.1395	73.9000	48.1000	
0.1076	0.1769	0.1392	74.1000	48.1000	
0.1073	0.1764	0.1388	74.1000	48.2000	
0.1070	0.1759	0.1385	73.9000	48.2000	
0.1068	0.1757	0.1382	73.9000	48.2000	
0.1065	0.1753	0.1378	73.7000	48.3000	
0.1063	0.1751	0.1375	73.8000	48.4000	
0.1060	0.1748	0.1372	73.9000	48.3000	
0.1058	0.1747	0.1369	73.8000	48.3000	
0.1055	0.1745	0.1366	73.6000	48.3000	
0.1053	0.1741	0.1363	73.2000	48.3000	
0.1050	0.1739	0.1360	73.3000	48.3000	
0.1048	0.1740	0.1358	73.1000	48.3000	
0.1046	0.1738	0.1355	72.6000	48.3000	
0.1043	0.1736	0.1352	72.1000	48.3000	
0.1040	0.1736	0.1349	73.3000	48.3000	
0.1038	0.1734	0.1346	72.9000	48.4000	
0.1035	0.1735	0.1343	72.6000	48.3000	
0.1033	0.1734	0.1340	72.2000	48.4000	
0.1030	0.1731	0.1337	71.9000	48.4000	
0.1027	0.1731	0.1334	72.1000	48.5000	
0.1025	0.1731	0.1331	71.5000	48.6000	
0.1022	0.1730	0.1327	71.3000	48.6000	
0.1019	0.1729	0.1324	70.6000	48.6000	
0.1016	0.1728	0.1321	69.8000	48.6000	
0.1012	0.1726	0.1317	69.7000	48.6000	
0.1009	0.1728	0.1313	69.6000	48.6000	
0.1006	0.1726	0.1309	69.5000	48.7000	
0.1002	0.1724	0.1305	68.6000	48.7000	
0.0999	0.1724	0.1301	67.4000	48.8000	
0.0995	0.1723	0.1297	67.4000	48.8000	
0.0991	0.1722	0.1292	67.2000	48.8000	
0.0987	0.1721	0.1288	66.9000	48.8000	
0.0983	0.1720	0.1283	66.2000	48.8000	
0.0979	0.1718	0.1278	66.1000	48.8000	
0.0974	0.1718	0.1273	65.4000	48.9000	
0.0970	0.1717	0.1268	65.2000	48.9000	
0.0965	0.1714	0.1263	64.9000	48.9000	
0.0960	0.1713	0.1257	65.3000	48.9000	
0.0955	0.1711	0.1251	64.6000	48.9000	
0.0950	0.1710	0.1245	64.2000	49.1000	
0.0945	0.1709	0.1239	64.2000	49.2000	
0.0939	0.1707	0.1233	64.2000	49.4000	
0.0933	0.1703	0.1226	64.6000	49.4000	
0.0928	0.1697	0.1220	64.4000	49.5000	
0.0923	0.1691	0.1213	64.4000	49.5000	
0.0917	0.1678	0.1206	65.2000	49.5000	
0.0912	0.1668	0.1199	66.1000	49.5000	
0.0906	0.1658	0.1191	66.5000	49.5000	
0.0900	0.1650	0.1184	67.5000	49.6000	
0.0894	0.1645	0.1176	68.7000	49.6000	
0.0888	0.1640	0.1169	69.0000	49.7000	
0.0882	0.1633	0.1161	67.5000	49.6000	
0.0874	0.1634	0.1153	68.2000	49.8000	
0.0867	0.1637	0.1145	68.8000	49.8000	
0.0859	0.1641	0.1137	68.8000	49.9000	
0.0852	0.1643	0.1129	68.7000	49.9000	
0.0843	0.1639	0.1119	67.1000	49.9000	
0.0836	0.1643	0.1111	67.0000	49.9000	
0.0827	0.1647	0.1102	66.2000	50.0000	
0.0819	0.1651	0.1093	66.7000	49.9000	
0.0810	0.1651	0.1083	67.8000	50.0000	
0.0800	0.1657	0.1073	65.9000	50.0000	
0.0789	0.1666	0.1062	66.9000	50.0000	
0.0777	0.1669	0.1049	66.5000	50.2000	
0.0764	0.1674	0.1035	67.7000	50.5000	
0.0751	0.1674	0.1021	68.0000	52.6000	
0.0737	0.1686	0.1006	69.7000	54.0000	
0.0723	0.1693	0.0991	69.6000	55.7000	
0.0708	0.1693	0.0975	70.6000	56.8000	
0.0694	0.1698	0.0959	70.6000	57.7000	
0.0679	0.1706	0.0944	70.1000	58.6000	
0.0664	0.1707	0.0927	72.2000	59.5000	
0.0650	0.1705	0.0911	72.8000	59.9000	
0.0636	0.1704	0.0896	73.0000	60.2000	
0.0623	0.1706	0.0881	73.9000	60.3000	
0.0609	0.1693	0.0864	74.0000	60.8000	
0.0591	0.1660	0.0842	73.7000	61.0000	
0.0548	0.1625	0.0789	73.8000	61.6000	
0.0410	0.1537	0.0626	63.7000	61.5000	
0.0269	0.1490	0.0464	52.7000	62.8000	
0.0156	0.1502	0.0340	57.0000	64.9000	
0.0065	0.1497	0.0239	65.5000	64.9000	
0.0002	0.1487	0.0168	62.6000	67.3000	
-0.0041	0.1476	0.0118	59.8000	68.8000	
-0.0065	0.1472	0.0091	64.0000	70.2000	
-0.0080	0.1468	0.0075	64.8000	70.1000	
-0.0089	0.1459	0.0063	60.8000	71.4000	
-0.0097	0.1456	0.0054	61.3000	71.7000	
-0.0102	0.1453	0.0048	60.2000	71.4000	
-0.0107	0.1450	0.0043	60.1000	71.2000	
-0.0109	0.1448	0.0040	60.7000	70.7000	
-0.0113	0.1445	0.0035	59.9000	71.2000	
-0.0115	0.1443	0.0033	60.0000	71.2000	
-0.0117	0.1441	0.0030	60.8000	71.3000	
-0.0117	0.1439	0.0029	62.0000	70.7000	
-0.0119	0.1436	0.0027	61.7000	70.7000	
-0.0120	0.1434	0.0026	60.1000	71.2000	
-0.0121	0.1432	0.0024	59.9000	72.1000	
-0.0122	0.1430	0.0023	61.4000	71.3000	
-0.0123	0.1429	0.0022	62.0000	71.4000	
-0.0124	0.1428	0.0021	62.9000	71.8000	
-0.0125	0.1427	0.0020	61.2000	71.6000	
-0.0125	0.1426	0.0019	63.4000	72.0000	
-0.0126	0.1425	0.0018	59.6000	71.8000	
-0.0127	0.1425	0.0018	60.5000	71.5000	
-0.0127	0.1425	0.0017	60.6000	71.4000	
-0.0127	0.1425	0.0017	61.1000	72.0000	
-0.0128	0.1424	0.0016	49.4000	71.4000	
-0.0129	0.1424	0.0015	50.9000	71.7000	
-0.0129	0.1424	0.0015	47.2000	71.7000	
-0.0130	0.1424	0.0014	45.7000	72.2000	
-0.0130	0.1424	0.0014	44.2000	72.2000	
-0.0130	0.1425	0.0014	47.5000	71.7000	
-0.0131	0.1424	0.0013	40.8000	72.2000	
-0.0131	0.1424	0.0013	41.7000	72.1000	
-0.0131	0.1424	0.0012	40.2000	72.0000	
-0.0131	0.1424	0.0013	41.6000	71.4000	
-0.0131	0.1425	0.0013	39.6000	72.3000	
-0.0132	0.1424	0.0011	39.6000	72.2000	
-0.0132	0.1424	0.0011	42.2000	72.2000	
-0.0133	0.1424	0.0011	39.9000	72.3000	
-0.0133	0.1423	0.0011	39.6000	72.1000	
-0.0133	0.1424	0.0010	39.6000	72.3000	
-0.0133	0.1424	0.0010	41.3000	72.2000	
-0.0133	0.1423	0.0010	39.8000	72.4000	
-0.0134	0.1424	0.0010	40.2000	71.9000	
-0.0134	0.1424	0.0010	41.0000	71.9000	
-0.0134	0.1424	0.0009	39.3000	72.2000	
-0.0134	0.1424	0.0009	40.2000	71.3000	
-0.0134	0.1424	0.0009	40.8000	72.2000	
-0.0134	0.1425	0.0009	41.5000	71.1000	
-0.0135	0.1424	0.0009	40.1000	72.0000	
-0.0135	0.1424	0.0008	40.0000	72.2000	
-0.0135	0.1424	0.0008	40.4000	72.3000	
-0.0135	0.1424	0.0009	40.0000	72.8000	
-0.0135	0.1424	0.0008	40.9000	72.0000	
-0.0135	0.1424	0.0008	43.2000	72.4000	
-0.0136	0.1424	0.0008	40.8000	71.8000	
-0.0136	0.1424	0.0008	41.3000	72.0000	
-0.0136	0.1424	0.0007	41.2000	71.6000	
-0.0136	0.1424	0.0008	41.9000	72.8000	
-0.0136	0.1424	0.0007	41.7000	71.7000	
-0.0136	0.1424	0.0007	41.9000	71.7000	
-0.0136	0.1425	0.0007	43.9000	71.6000	
-0.0136	0.1424	0.0007	44.2000	72.4000	
-0.0136	0.1425	0.0007	42.0000	71.7000	
-0.0136	0.1424	0.0007	42.1000	72.4000	
-0.0136	0.1424	0.0007	42.6000	71.8000	
-0.0137	0.1425	0.0007	43.6000	72.7000	
-0.0137	0.1424	0.0006	42.6000	71.7000	
-0.0137	0.1424	0.0006	43.0000	72.8000	
-0.0137	0.1425	0.0006	43.8000	71.8000	
-0.0137	0.1425	0.0006	42.7000	71.9000	
-0.0137	0.1425	0.0006	42.8000	71.5000	
-0.0137	0.1425	0.0006	44.0000	71.6000	
-0.0137	0.1425	0.0006	43.3000	71.9000	
-0.0137	0.1425	0.0006	44.1000	71.7000	
-0.0137	0.1424	0.0006	42.6000	72.7000	
-0.0137	0.1425	0.0006	42.7000	72.1000	
-0.0137	0.1425	0.0006	44.2000	71.8000	
-0.0138	0.1425	0.0006	45.5000	72.2000	
-0.0137	0.1425	0.0006	43.0000	72.8000	
-0.0138	0.1425	0.0005	42.9000	72.4000	
-0.0138	0.1425	0.0005	45.0000	72.8000	
-0.0138	0.1425	0.0005	46.5000	72.4000	
-0.0138	0.1425	0.0005	45.3000	72.0000	
-0.0138	0.1425	0.0005	43.1000	72.8000	
-0.0138	0.1425	0.0005	43.8000	72.7000	
-0.0138	0.1425	0.0005	45.9000	71.9000	
-0.0138	0.1425	0.0005	45.5000	72.2000	
-0.0138	0.1425	0.0005	44.8000	72.8000	
-0.0138	0.1425	0.0005	43.6000	72.8000	
-0.0138	0.1425	0.0005	45.0000	71.9000	
-0.0138	0.1426	0.0005	47.0000	72.4000	
-0.0138	0.1425	0.0005	43.5000	72.1000	
-0.0138	0.1425	0.0005	44.5000	72.7000	
-0.0138	0.1425	0.0005	47.0000	71.7000	
