Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
0.4522	0.3385	0.7911	50.0000	50.0000	
0.4287	0.3351	0.7560	50.0000	50.0000	
0.4055	0.3319	0.7216	50.0000	50.0000	
0.3829	0.3288	0.6879	50.0000	50.0000	
0.3605	0.3257	0.6546	50.0000	50.0000	
0.3381	0.3227	0.6212	50.0000	50.0000	
0.3158	0.3198	0.5881	50.0000	50.0000	
0.2934	0.3170	0.5550	50.0000	50.0000	
0.2712	0.3143	0.5221	50.0000	50.0000	
0.2494	0.3117	0.4898	50.0000	50.0000	
0.2280	0.3091	0.4581	50.0000	50.0000	
0.2074	0.3067	0.4277	50.0000	50.0000	
0.1875	0.3043	0.3983	50.0000	50.0000	
0.1690	0.3020	0.3709	50.0000	50.0000	
0.1515	0.2998	0.3449	50.0000	50.0000	
0.1341	0.2975	0.3190	50.0000	50.0000	
0.1182	0.2941	0.2950	50.0000	50.0000	
0.1044	0.2886	0.2728	50.0000	50.0000	
0.0926	0.2825	0.2534	50.0000	50.0000	
0.0821	0.2765	0.2358	50.0000	58.1250	
0.0733	0.2701	0.2205	50.0000	85.5500	
0.0661	0.2634	0.2074	50.0000	87.8250	
0.0605	0.2563	0.1963	50.0000	88.8750	
0.0564	0.2487	0.1871	50.0000	88.6500	
0.0539	0.2411	0.1803	50.0000	88.0500	
0.0528	0.2336	0.1755	66.8750	87.8250	
0.0532	0.2255	0.1726	74.7000	87.7250	
0.0541	0.2179	0.1707	74.9500	87.8000	
0.0552	0.2108	0.1693	74.9750	87.6000	
0.0563	0.2045	0.1681	75.0250	87.8000	
0.0572	0.1992	0.1672	75.1750	88.1250	
0.0582	0.1937	0.1661	75.0250	88.4250	
0.0587	0.1898	0.1652	75.0250	89.0750	
0.0588	0.1868	0.1641	74.9750	89.2000	
0.0590	0.1842	0.1632	75.2250	89.1000	
0.0590	0.1813	0.1620	75.1250	89.2750	
0.0590	0.1793	0.1612	75.2500	89.6500	
0.0590	0.1772	0.1602	75.2750	90.4750	
0.0586	0.1757	0.1591	75.2750	91.0250	
0.0584	0.1743	0.1581	75.0250	91.6500	
0.0579	0.1724	0.1565	75.3500	92.5000	
0.0571	0.1696	0.1543	75.2250	93.0500	
0.0555	0.1665	0.1506	74.9500	94.1500	
0.0532	0.1623	0.1455	75.0250	96.0500	
0.0488	0.1576	0.1373	75.0500	97.0000	
0.0426	0.1519	0.1259	75.1000	96.2500	
0.0342	0.1480	0.1123	75.5500	94.9000	
0.0245	0.1456	0.0974	74.8000	91.9750	
0.0149	0.1434	0.0827	74.6000	89.5250	
0.0062	0.1419	0.0697	74.7250	89.0250	
-0.0010	0.1412	0.0590	75.1500	87.1250	
-0.0068	0.1407	0.0506	74.6750	85.1500	
-0.0114	0.1409	0.0441	75.0000	82.9250	
-0.0156	0.1404	0.0379	74.7500	79.6500	
-0.0189	0.1399	0.0330	74.9250	77.9250	
-0.0216	0.1398	0.0291	70.2750	78.0000	
-0.0239	0.1388	0.0253	56.4000	77.9750	
-0.0260	0.1390	0.0225	52.4500	77.4250	
-0.0278	0.1379	0.0195	52.2750	77.4250	
-0.0292	0.1378	0.0173	52.5500	77.4000	
-0.0304	0.1379	0.0158	51.4250	76.5000	
-0.0313	0.1374	0.0142	50.7250	76.2500	
-0.0321	0.1374	0.0130	50.6250	76.2750	
-0.0328	0.1372	0.0119	49.8250	75.8750	
-0.0334	0.1378	0.0113	48.4250	75.9750	
-0.0338	0.1372	0.0105	49.1750	75.7500	
-0.0344	0.1372	0.0097	48.2500	75.0250	
-0.0349	0.1376	0.0092	47.0250	75.5000	
-0.0353	0.1372	0.0084	47.7500	75.4750	
-0.0357	0.1372	0.0079	47.5000	75.3000	
-0.0360	0.1373	0.0074	47.1500	75.1500	
-0.0363	0.1373	0.0070	46.6250	75.3750	
-0.0366	0.1372	0.0066	47.2000	75.3000	
-0.0368	0.1371	0.0061	47.1000	75.0500	
-0.0371	0.1373	0.0058	47.2500	75.3250	
-0.0373	0.1376	0.0056	46.2750	74.9250	
-0.0375	0.1374	0.0052	47.0500	75.1750	
-0.0377	0.1373	0.0049	47.3750	75.2250	
-0.0379	0.1375	0.0047	47.0500	74.8250	
-0.0381	0.1376	0.0045	47.3000	75.5750	
-0.0383	0.1376	0.0042	47.5250	74.8000	
-0.0384	0.1376	0.0042	47.3000	75.3500	
-0.0386	0.1376	0.0039	47.7250	75.0000	
-0.0387	0.1378	0.0037	48.1750	75.1000	
-0.0388	0.1378	0.0036	48.2500	74.9500	
-0.0389	0.1379	0.0034	48.9500	75.2000	
-0.0390	0.1380	0.0034	48.0750	74.8000	
-0.0391	0.1379	0.0032	48.9000	75.3250	
-0.0392	0.1383	0.0032	48.7000	74.6750	
-0.0392	0.1381	0.0032	50.0250	75.1000	
-0.0394	0.1381	0.0030	49.6250	74.7000	
-0.0394	0.1382	0.0029	49.6000	75.1500	
-0.0395	0.1383	0.0028	50.7750	75.0750	
-0.0395	0.1383	0.0028	49.8250	74.7250	
-0.0396	0.1380	0.0026	50.7250	75.3750	
-0.0396	0.1379	0.0025	50.9000	74.7250	
-0.0396	0.1381	0.0025	50.5000	75.0750	
-0.0397	0.1380	0.0024	51.0500	74.8500	
-0.0397	0.1378	0.0023	51.2250	74.8250	
-0.0398	0.1379	0.0023	50.8000	74.9500	
-0.0398	0.1378	0.0022	51.4500	74.9250	
-0.0398	0.1379	0.0022	51.2000	75.0250	
-0.0399	0.1378	0.0021	51.7000	74.7750	
-0.0399	0.1377	0.0020	51.8000	74.7000	
-0.0399	0.1377	0.0020	51.8250	75.2500	
-0.0400	0.1376	0.0019	51.4500	74.6750	
-0.0400	0.1376	0.0019	51.9750	75.1500	
-0.0399	0.1378	0.0020	51.5500	74.8500	
-0.0399	0.1378	0.0020	53.3750	75.0750	
-0.0400	0.1379	0.0020	52.2500	74.3750	
-0.0399	0.1374	0.0019	53.1250	75.2750	
-0.0400	0.1375	0.0018	53.3250	74.4500	
-0.0399	0.1375	0.0019	52.5000	74.7500	
-0.0400	0.1373	0.0016	53.9000	75.5000	
-0.0401	0.1373	0.0015	54.8250	74.4750	
-0.0401	0.1373	0.0015	53.5750	74.6750	
-0.0401	0.1372	0.0015	53.8000	74.9750	
-0.0402	0.1371	0.0014	53.2500	74.9250	
-0.0402	0.1372	0.0014	53.5500	74.9750	
-0.0402	0.1370	0.0013	54.4750	74.8500	
